Ticket No,Priority,State,Category,Issue,Skill Team,Hosting,Create Date,Picked Date,Completed Date,Assignee,Customer Rating,Outcome,Escalated,Reached via
T347,Medium,New Hampshire,Cyber Consultation,New Application Launch,Manufacturing,Vendor Cloud,16-07-2021 20:04,18-07-2021 16:50,22-07-2021 11:38,Charles,Excellent (5),Resolved,,Ticket Portal
T348,Low,California,Data Leak,Phishing,IT,On Prem Server,18-07-2021 17:55,19-07-2021 08:39,17-08-2021 22:07,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T349,High,Florida,Security Gap,Obsolete Software,Legal,Vendor Cloud,19-07-2021 10:56,19-07-2021 10:58,21-07-2021 14:54,Sebastian,Unsatisfactory (2),Resolved,,Ticket Portal
T35,Medium,Utah,Data Privacy,HIPAA,HR,Vendor Cloud,25-01-2021 18:56,25-01-2021 19:49,25-01-2021 19:49,Sebastian,Excellent (5),Advised for a risk assessment,,Ticket Portal
T350,Medium,Pennsylvania,Data Leak,Phishing,Marketing,On Prem Server,20-07-2021 18:21,20-07-2021 18:23,21-07-2021 12:38,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T351,Medium,California,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,20-07-2021 20:00,20-07-2021 20:02,21-07-2021 12:43,Michael,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T352,Low,New Jersey,Data Privacy,GDPR,HR,Vendor Cloud,20-07-2021 20:03,20-07-2021 20:18,20-07-2021 20:20,Michael,Good (4),Resolved,,Mail
T353,Low,Washington,Data Privacy,PCI-DSS,IT,Vendor Cloud,21-07-2021 16:32,21-07-2021 16:37,22-07-2021 11:40,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T354,Low,Illinois,Data Privacy,HIPAA,Finance,On Prem Server,21-07-2021 22:01,21-07-2021 22:34,22-07-2021 16:19,Michael,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T355,Low,Oregon,Data Privacy,GDPR,Legal,Vendor Cloud,23-07-2021 17:40,23-07-2021 17:49,28-07-2021 18:43,Martina,Excellent (5),Resolved,,Ticket Portal
T356,Low,Utah,Data Privacy,Privacy Assessment,IT,On Prem Server,23-07-2021 20:39,26-07-2021 12:27,04-08-2021 09:29,Charles,Excellent (5),Resolved,,Ticket Portal
T357,High,California,Data Privacy,Privacy Assessment,HR,Vendor Cloud,26-07-2021 20:18,26-07-2021 20:20,26-07-2021 20:21,Michael,Good (4),Advised for a risk assessment,,Ticket Portal
T358,Low,Iowa,Data Privacy,PCI-DSS,Finance,Vendor Cloud,26-07-2021 20:23,26-07-2021 20:24,03-08-2021 17:40,Robbin,Good (4),Resolved,,Personal Call
T359,High,Connecticut,Cyber Security Breach,Spyware,HR,On Prem Server,27-07-2021 11:07,27-07-2021 11:10,29-07-2021 21:29,Kareema,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T36,High,California,Data Privacy,GDPR,IT,On Prem Cloud,25-01-2021 23:29,25-01-2021 23:37,03-06-2021 18:54,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T360,High,Rhode Island,Cyber Security Breach,Malware Attack,Finance,On Prem Server,27-07-2021 11:38,27-07-2021 11:38,27-07-2021 11:57,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T361,High,Arizona,Data Privacy,GDPR,Finance,On Prem Server,27-07-2021 12:06,27-07-2021 12:07,27-07-2021 12:12,Allan,Excellent (5),Resolved,,Mail
T362,Low,Florida,Data Leak,Insider Threat,Legal,Vendor Cloud,27-07-2021 12:23,27-07-2021 12:37,27-07-2021 12:41,Allan,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T363,High,California,Cyber Security Breach,Spyware,Marketing,Vendor Cloud,27-07-2021 13:54,27-07-2021 13:57,03-11-2021 19:17,Benny,Good (4),Advised for a risk assessment,,Ticket Portal
T364,High,North Carolina,Cyber Security Breach,Firewall,IT,On Prem Server,27-07-2021 17:17,27-07-2021 17:25,19-08-2021 00:10,Martina,Good (4),Resolved,,Ticket Portal
T365,Medium,California,Data Privacy,Privacy Assessment,HR,On Prem Cloud,27-07-2021 19:16,27-07-2021 19:25,27-07-2021 19:25,Robbin,Excellent (5),Resolved,,Ticket Portal
T366,Low,California,Data Privacy,HIPAA,Finance,Vendor Cloud,27-07-2021 21:03,27-07-2021 21:34,28-07-2021 18:10,Martina,Good (4),Resolved,,Ticket Portal
T367,High,Florida,Cyber Security Breach,Malware Attack,Marketing,On Prem Server,27-07-2021 21:38,28-07-2021 10:39,09-08-2021 18:29,Cinderalla,Unsatisfactory (2),Recommended Threat Assessment,Yes,Mail
T368,Low,Texas,Data Privacy,PCI-DSS,HR,On Prem Server,28-07-2021 16:51,28-07-2021 21:51,06-08-2021 14:53,Aleena,Good (4),Advised for a risk assessment,,Ticket Portal
T369,Low,California,Data Privacy,GDPR,HR,On Prem Server,28-07-2021 23:43,28-07-2021 23:43,28-07-2021 23:43,Michael,Satisfactory (3),Resolved,,Ticket Portal
T37,High,Michigan,Data Privacy,PCI-DSS,IT,On Prem Cloud,27-01-2021 15:20,27-01-2021 15:21,27-01-2021 15:40,Martina,Unsatisfactory (2),Resolved,No,Ticket Portal
T370,Low,New York,Data Privacy,GDPR,Finance,Vendor Cloud,29-07-2021 12:47,29-07-2021 13:09,04-08-2021 13:48,Michael,Excellent (5),Resolved,,Personal Call
T371,Low,South Carolina,Security Gap,Unauthorized access,HR,On Prem Cloud,29-07-2021 18:47,29-07-2021 18:50,13-08-2021 12:58,Robbin,Satisfactory (3),Resolved,,Ticket Portal
T372,High,Pennsylvania,Cyber Security Breach,Spyware,HR,On Prem Server,29-07-2021 18:53,29-07-2021 18:55,16-08-2021 18:24,Sebastian,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T373,High,Ohio,Cyber Security Breach,Trojan Attack,IT,On Prem Cloud,30-07-2021 16:44,30-07-2021 16:45,03-08-2021 17:39,Robbin,Good (4),Advised for a risk assessment,,Ticket Portal
T374,High,New York,Data Privacy,PCI-DSS,Finance,On Prem Server,30-07-2021 20:31,02-08-2021 11:14,05-08-2021 17:28,Charles,Excellent (5),Advised for a risk assessment,,Ticket Portal
T375,High,New Jersey,Data Privacy,GDPR,Legal,Vendor Cloud,02-08-2021 10:42,02-08-2021 10:45,04-08-2021 10:29,Charles,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T376,High,California,Cyber Security Breach,Firewall,Marketing,Vendor Cloud,02-08-2021 19:12,02-08-2021 19:19,16-08-2021 18:28,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T377,Medium,Massachusetts,Data Leak,Insider Threat,HR,On Prem Cloud,04-08-2021 04:04,04-08-2021 12:10,09-09-2021 19:53,Charlotte,Excellent (5),Resolved,,Personal Call
T378,Low,Florida,Cyber Consultation,Application Offboarding,Legal,On Prem Server,04-08-2021 11:42,04-08-2021 11:46,07-09-2021 15:11,Michael,Satisfactory (3),Resolved,,Ticket Portal
T379,High,California,Cyber Consultation,Database Security,IT,On Prem Cloud,04-08-2021 13:05,04-08-2021 13:37,13-08-2021 18:47,Sean,Excellent (5),Advised for a risk assessment,,Personal Call
T38,Low,Georgia,Data Leak,Insider Threat,Legal,Vendor Cloud,27-01-2021 16:21,27-01-2021 16:24,03-06-2021 19:36,Allan,Excellent (5),Resolved,,Mail
T380,Medium,California,Data Leak,Insider Threat,Manufacturing,On Prem Server,04-08-2021 14:41,04-08-2021 14:46,26-08-2021 21:48,Michael,Excellent (5),Resolved,,Ticket Portal
T381,Medium,New York,Data Privacy,PCI-DSS,Legal,On Prem Server,04-08-2021 14:44,04-08-2021 14:44,05-08-2021 18:25,Sean,Satisfactory (3),Recommended Threat Assessment,,Mail
T382,Medium,Alabama,Data Privacy,PCI-DSS,IT,On Prem Server,04-08-2021 14:50,04-08-2021 14:50,19-08-2021 22:47,Sean,Good (4),Advised for a risk assessment,,Ticket Portal
T383,Medium,New York,Data Leak,Insider Threat,IT,On Prem Server,04-08-2021 15:00,04-08-2021 15:01,23-08-2021 19:30,Veronica,Satisfactory (3),Resolved,,Ticket Portal
T384,High,Florida,Data Leak,Phishing,Marketing,On Prem Server,04-08-2021 19:13,04-08-2021 19:16,05-08-2021 17:16,Charles,Excellent (5),Advised for a risk assessment,,Mail
T385,High,Colorado,Cyber Security Breach,Malware Attack,IT,On Prem Server,04-08-2021 19:34,04-08-2021 20:05,17-08-2021 18:44,Martina,Good (4),Resolved,,Ticket Portal
T386,Low,Idaho,Data Privacy,PCI-DSS,HR,On Prem Cloud,04-08-2021 22:54,05-08-2021 12:30,22-08-2021 19:09,Bob,Excellent (5),Resolved,,Mail
T387,Low,New Jersey,Data Privacy,HIPAA,Finance,On Prem Server,05-08-2021 18:19,05-08-2021 18:25,10-08-2021 13:07,Cinderalla,Satisfactory (3),Recommended Threat Assessment,,Personal Call
T388,High,Michigan,Data Leak,Insider Threat,IT,Vendor Cloud,05-08-2021 18:58,05-08-2021 19:01,13-08-2021 12:56,Robbin,Good (4),Advised for a risk assessment,,Ticket Portal
T389,Low,District of Columbia,Data Privacy,HIPAA,HR,On Prem Cloud,05-08-2021 19:24,05-08-2021 19:25,05-08-2021 22:13,Veronica,Good (4),Resolved,,Ticket Portal
T39,Medium,California,Data Privacy,Privacy Assessment,Finance,On Prem Cloud,27-01-2021 17:44,27-01-2021 18:14,03-06-2021 19:26,Martina,Unsatisfactory (2),Recommended Threat Assessment,Yes,Mail
T390,High,Maryland,Cyber Security Breach,Malware Attack,HR,On Prem Server,06-08-2021 10:04,06-08-2021 10:05,10-08-2021 17:45,Charles,Excellent (5),Resolved,,Ticket Portal
T391,High,Illinois,Cyber Consultation,BCP/DR,Finance,On Prem Server,06-08-2021 11:34,06-08-2021 11:38,09-08-2021 18:46,Cinderalla,Good (4),Resolved,,Ticket Portal
T392,High,Georgia,Cyber Consultation,Secure Development,Manufacturing,On Prem Server,06-08-2021 13:02,06-08-2021 13:05,13-08-2021 12:44,Charles,Unsatisfactory (2),Resolved,Yes,Mail
T393,Low,Texas,Cyber Consultation,Secure Development,Manufacturing,On Prem Server,06-08-2021 13:09,06-08-2021 13:10,06-08-2021 13:17,Veronica,Satisfactory (3),Resolved,,Ticket Portal
T394,Low,California,Data Privacy,GDPR,Finance,On Prem Server,06-08-2021 13:23,06-08-2021 13:25,06-08-2021 13:26,Veronica,Excellent (5),Advised for a risk assessment,,Ticket Portal
T395,High,New York,Cyber Security Breach,Firewall,Marketing,Vendor Cloud,06-08-2021 15:03,17-09-2021 13:24,22-09-2021 10:09,Sebastian,Good (4),Advised for a risk assessment,,Ticket Portal
T396,Low,Nevada,Data Leak,Vishing,Finance,On Prem Cloud,06-08-2021 21:42,08-08-2021 09:17,18-10-2021 11:47,Cinderalla,Good (4),Resolved,,Ticket Portal
T397,High,Maryland,Data Leak,Insider Threat,IT,On Prem Cloud,09-08-2021 17:33,09-08-2021 17:35,11-08-2021 08:48,Allan,Good (4),Resolved,,Ticket Portal
T398,High,Washington,Data Privacy,HIPAA,Finance,On Prem Server,09-08-2021 22:14,10-08-2021 10:18,23-08-2021 17:25,Cinderalla,Excellent (5),Resolved,,Ticket Portal
T399,High,Illinois,Cyber Consultation,BCP/DR,Finance,On Prem Server,10-08-2021 14:27,10-08-2021 14:30,11-08-2021 12:43,Cinderalla,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T40,Low,Washington,Cyber Consultation,Secure Development,HR,Vendor Cloud,27-01-2021 21:00,27-01-2021 21:00,27-01-2021 21:20,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T400,High,Texas,Cyber Security Breach,Trojan Attack,Manufacturing,Vendor Cloud,10-08-2021 19:42,10-08-2021 19:47,18-08-2021 09:54,Cinderalla,Excellent (5),Advised for a risk assessment,,Personal Call
T401,High,West Virginia,Cyber Consultation,Encryption,IT,On Prem Cloud,10-08-2021 23:16,11-08-2021 09:43,13-08-2021 19:02,Charles,Excellent (5),Advised for a risk assessment,,Mail
T402,Low,Ohio,Data Privacy,Privacy Assessment,Finance,On Prem Server,11-08-2021 19:22,11-08-2021 19:25,17-08-2021 17:19,Charles,Satisfactory (3),Resolved,,Ticket Portal
T403,Low,Indiana,Data Privacy,Privacy Assessment,HR,On Prem Server,12-08-2021 14:22,12-08-2021 14:27,16-08-2021 22:01,Cinderalla,Excellent (5),Advised for a risk assessment,,Mail
T404,Medium,Georgia,Data Privacy,Privacy Assessment,IT,On Prem Server,12-08-2021 15:16,13-08-2021 12:34,16-09-2021 14:45,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T405,High,Delaware,Cyber Security Breach,Trojan Attack,HR,On Prem Server,13-08-2021 13:35,13-08-2021 13:42,17-08-2021 20:54,Sylviya,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T406,Low,California,Data Privacy,PCI-DSS,Manufacturing,Vendor Cloud,13-08-2021 14:39,13-08-2021 14:40,25-08-2021 17:25,Sebastian,Good (4),Recommended Threat Assessment,,Personal Call
T407,Medium,Georgia,Data Privacy,HIPAA,IT,Vendor Cloud,13-08-2021 17:30,13-08-2021 22:27,16-08-2021 23:06,Martina,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T408,Low,Virginia,Data Leak,Phishing,IT,Vendor Cloud,14-08-2021 00:01,30-08-2021 12:34,07-09-2021 18:27,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T409,High,Washington,Data Privacy,PCI-DSS,Finance,On Prem Server,14-08-2021 01:33,16-08-2021 09:18,20-08-2021 18:47,Veronica,Excellent (5),Recommended Threat Assessment,,Personal Call
T41,Medium,Tennessee,Cyber Consultation,BCP/DR,IT,On Prem Server,28-01-2021 20:30,31-01-2021 08:53,15-06-2021 11:00,Martina,Excellent (5),Advised for a risk assessment,,Ticket Portal
T410,Low,California,Data Privacy,Privacy Assessment,Finance,Vendor Cloud,16-08-2021 13:33,16-08-2021 13:35,23-08-2021 19:23,Veronica,Excellent (5),Resolved,,Personal Call
T411,High,Georgia,Data Privacy,GDPR,Finance,Vendor Cloud,16-08-2021 15:02,16-08-2021 15:05,19-08-2021 14:15,Aleena,Good (4),Resolved,,Ticket Portal
T412,Medium,North Carolina,Cyber Consultation,Access Management,Finance,On Prem Server,16-08-2021 15:37,16-08-2021 15:38,16-08-2021 15:39,Charles,Excellent (5),Resolved,,Mail
T413,High,Illinois,Data Privacy,GDPR,Marketing,On Prem Cloud,16-08-2021 16:22,16-08-2021 16:45,25-08-2021 17:43,Veronica,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T414,High,Kansas,Cyber Consultation,BCP/DR,Marketing,On Prem Cloud,16-08-2021 19:51,16-08-2021 20:44,20-08-2021 18:18,Martina,Excellent (5),Advised for a risk assessment,,Mail
T415,High,Texas,Cyber Security Breach,Malware Attack,Finance,Vendor Cloud,17-08-2021 14:23,17-08-2021 14:36,16-09-2021 09:41,Charles,Excellent (5),Resolved,,Personal Call
T416,Low,Georgia,Security Gap,Unauthorized access,IT,Vendor Cloud,17-08-2021 18:55,17-08-2021 19:01,19-08-2021 16:27,Charles,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T417,High,Florida,Cyber Consultation,BCP/DR,Manufacturing,On Prem Server,17-08-2021 18:58,17-08-2021 20:34,23-08-2021 10:08,Sylviya,Unsatisfactory (2),Advised for a risk assessment,Yes,Ticket Portal
T418,High,Maryland,Data Privacy,HIPAA,Finance,On Prem Server,17-08-2021 20:29,17-08-2021 20:30,17-08-2021 20:38,Veronica,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T419,Low,New York,Data Privacy,Privacy Assessment,Legal,Vendor Cloud,17-08-2021 20:42,17-08-2021 20:43,17-08-2021 20:47,Veronica,Excellent (5),Recommended Threat Assessment,,Personal Call
T42,Medium,Connecticut,Security Gap,Obsolete Software,Finance,On Prem Server,31-01-2021 09:37,31-01-2021 09:37,31-01-2021 09:40,Allan,Satisfactory (3),Resolved,,Ticket Portal
T420,Low,Illinois,Data Leak,Insider Threat,HR,On Prem Server,17-08-2021 22:37,17-08-2021 22:38,17-08-2021 22:40,Allan,Satisfactory (3),Resolved,,Ticket Portal
T421,Low,California,Cyber Consultation,Segregation of Duties,HR,On Prem Cloud,17-08-2021 22:42,17-08-2021 22:43,17-08-2021 22:44,Allan,Excellent (5),Resolved,,Ticket Portal
T422,Low,Florida,Data Privacy,HIPAA,IT,On Prem Server,17-08-2021 22:46,17-08-2021 22:46,17-08-2021 22:48,Allan,Excellent (5),Resolved,,Personal Call
T423,Low,California,Cyber Consultation,Secure Development,IT,On Prem Server,17-08-2021 22:50,17-08-2021 22:51,17-08-2021 23:00,Allan,Excellent (5),Advised for a risk assessment,,Ticket Portal
T424,High,California,Data Leak,Insider Threat,IT,On Prem Cloud,18-08-2021 00:57,27-08-2021 02:17,27-08-2021 02:17,Martina,Good (4),Resolved,,Ticket Portal
T425,High,Texas,Cyber Security Breach,Malware Attack,Finance,On Prem Server,18-08-2021 14:49,18-08-2021 14:55,24-08-2021 22:47,Charles,Good (4),Resolved,,Ticket Portal
T426,Low,California,Security Gap,Unauthorized access,Legal,Vendor Cloud,18-08-2021 16:23,18-08-2021 16:23,18-08-2021 16:23,Veronica,Good (4),Recommended Threat Assessment,,Ticket Portal
T427,High,Utah,Data Privacy,HIPAA,IT,On Prem Cloud,18-08-2021 16:27,18-08-2021 16:28,19-08-2021 14:19,Aleena,Good (4),Resolved,,Personal Call
T428,Low,Florida,Data Privacy,HIPAA,Finance,On Prem Cloud,18-08-2021 17:38,18-08-2021 18:35,26-08-2021 17:26,Cinderalla,Excellent (5),Resolved,,Ticket Portal
T429,Low,Texas,Data Privacy,Privacy Assessment,IT,Vendor Cloud,18-08-2021 19:07,18-08-2021 21:23,31-08-2021 16:51,Veronica,Good (4),Resolved,,Personal Call
T43,Low,California,Cyber Consultation,New Application Launch,Finance,On Prem Server,31-01-2021 09:46,31-01-2021 09:47,31-01-2021 09:51,Allan,Unsatisfactory (2),Recommended Threat Assessment,Yes,Ticket Portal
T430,High,Missouri,Data Leak,Phishing,IT,Vendor Cloud,18-08-2021 20:51,19-08-2021 20:30,01-09-2021 19:57,Bob,Excellent (5),Resolved,,Personal Call
T431,Low,Maine,Security Gap,Unauthorized software,HR,On Prem Cloud,19-08-2021 00:50,19-08-2021 06:49,27-08-2021 11:43,Cinderalla,Excellent (5),Advised for a risk assessment,,Mail
T432,Low,Texas,Data Privacy,HIPAA,HR,On Prem Server,19-08-2021 20:34,19-08-2021 21:37,26-08-2021 15:43,Charles,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T433,Medium,Texas,Data Privacy,PCI-DSS,Marketing,On Prem Cloud,19-08-2021 22:53,19-08-2021 22:54,26-08-2021 20:56,Sean,Excellent (5),Advised for a risk assessment,,Ticket Portal
T434,High,Illinois,Data Privacy,HIPAA,IT,On Prem Cloud,20-08-2021 15:58,20-08-2021 16:09,23-08-2021 09:44,Charles,Excellent (5),Advised for a risk assessment,,Mail
T435,Low,Florida,Data Leak,Insider Threat,Legal,Vendor Cloud,21-08-2021 01:55,22-08-2021 23:24,27-08-2021 19:24,Sean,Excellent (5),Resolved,,Mail
T436,Low,North Carolina,Data Privacy,HIPAA,IT,On Prem Cloud,22-08-2021 22:30,22-08-2021 22:31,22-08-2021 22:34,Bob,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T437,High,Virginia,Cyber Security Breach,Trojan Attack,IT,On Prem Cloud,22-08-2021 22:42,25-04-2021 16:48,27-08-2021 14:10,Bob,Good (4),Resolved,,Ticket Portal
T438,Low,California,Data Privacy,GDPR,HR,On Prem Server,23-08-2021 09:27,23-08-2021 21:34,16-09-2021 14:36,Robbin,Excellent (5),Resolved,,Ticket Portal
T439,Low,Virginia,Data Leak,Insider Threat,IT,On Prem Server,24-08-2021 13:11,24-08-2021 17:47,24-12-2021 09:58,Veronica,Excellent (5),Resolved,,Ticket Portal
T44,Medium,Wisconsin,Data Privacy,Privacy Assessment,IT,On Prem Server,31-01-2021 09:46,31-01-2021 09:47,03-06-2021 19:56,Allan,Satisfactory (3),Resolved,,Ticket Portal
T440,High,Texas,Data Privacy,GDPR,Legal,On Prem Server,24-08-2021 17:23,24-08-2021 17:30,24-08-2021 19:17,Robbin,Excellent (5),Advised for a risk assessment,,Ticket Portal
T441,Low,New York,Data Privacy,PCI-DSS,HR,Vendor Cloud,24-08-2021 19:46,24-08-2021 20:02,26-08-2021 11:10,Charles,Good (4),Recommended Threat Assessment,,Ticket Portal
T442,Low,Oregon,Cyber Consultation,Secure Development,HR,On Prem Server,24-08-2021 23:44,25-08-2021 17:19,03-09-2021 18:28,Martina,Good (4),Resolved,,Ticket Portal
T443,Low,Washington,Cyber Consultation,New Application Launch,Marketing,On Prem Cloud,25-08-2021 14:27,25-08-2021 17:52,03-09-2021 18:30,Sylviya,Excellent (5),Resolved,,Ticket Portal
T444,High,Illinois,Cyber Security Breach,Firewall,Marketing,On Prem Cloud,25-08-2021 18:23,26-08-2021 10:15,03-09-2021 17:37,Sylviya,Good (4),Recommended Threat Assessment,,Ticket Portal
T445,Low,Washington,Cyber Consultation,New Application Launch,Finance,On Prem Server,25-08-2021 22:13,25-08-2021 23:40,26-08-2021 21:33,Martina,Excellent (5),Recommended Threat Assessment,,Ticket Portal
T446,High,Florida,Cyber Consultation,BCP/DR,HR,On Prem Cloud,25-08-2021 23:35,26-08-2021 10:14,26-08-2021 10:14,Cinderalla,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T447,High,Texas,Security Gap,Obsolete Software,IT,On Prem Server,26-08-2021 21:15,26-08-2021 21:32,02-09-2021 21:03,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T448,Low,Nevada,Cyber Consultation,Access Management,Finance,On Prem Server,27-08-2021 12:30,27-08-2021 12:34,06-09-2021 11:00,Charles,Excellent (5),Resolved,,Ticket Portal
T449,Medium,New York,Data Privacy,GDPR,HR,On Prem Server,27-08-2021 14:53,27-08-2021 15:02,01-09-2021 15:55,Charles,Excellent (5),Advised for a risk assessment,,Mail
T45,High,Connecticut,Cyber Consultation,Segregation of Duties,Finance,On Prem Server,31-01-2021 09:46,31-01-2021 09:47,31-01-2021 09:57,Allan,Excellent (5),Resolved,,Personal Call
T450,Medium,Massachusetts,Cyber Consultation,Database Security,IT,Vendor Cloud,27-08-2021 19:17,27-08-2021 19:30,21-12-2021 11:59,Veronica,Excellent (5),Advised for a risk assessment,,Ticket Portal
T451,High,Florida,Data Privacy,PCI-DSS,Marketing,Vendor Cloud,27-08-2021 19:48,27-08-2021 19:49,13-09-2021 09:41,Bob,Excellent (5),Resolved,,Mail
T452,Low,Oklahoma,Data Leak,Vishing,Marketing,Vendor Cloud,28-08-2021 01:07,30-08-2021 10:09,03-09-2021 19:46,Charles,Good (4),Resolved,,Mail
T453,Medium,California,Data Leak,Phishing,Manufacturing,On Prem Server,30-08-2021 20:45,30-08-2021 20:47,17-09-2021 11:25,Robbin,Satisfactory (3),Resolved,,Mail
T454,Low,California,Cyber Consultation,New Application Launch,Marketing,Vendor Cloud,30-08-2021 22:28,31-08-2021 10:13,02-09-2021 17:51,Charles,Unsatisfactory (2),Advised for a risk assessment,Yes,Mail
T455,High,Texas,Cyber Security Breach,Firewall,IT,On Prem Server,31-08-2021 17:36,31-08-2021 17:43,01-10-2021 18:03,Sylviya,Satisfactory (3),Recommended Threat Assessment,,Mail
T456,High,Utah,Cyber Security Breach,Trojan Attack,Marketing,On Prem Server,31-08-2021 19:13,01-09-2021 13:43,21-10-2021 15:31,Veronica,Satisfactory (3),Recommended Threat Assessment,,Mail
T457,High,Florida,Cyber Consultation,Database Security,Manufacturing,On Prem Cloud,01-09-2021 19:08,01-09-2021 19:12,08-09-2021 21:13,Martina,Satisfactory (3),Advised for a risk assessment,,Ticket Portal
T458,High,Florida,Cyber Security Breach,Trojan Attack,IT,On Prem Server,02-09-2021 11:45,02-09-2021 11:47,02-09-2021 11:48,Charles,Satisfactory (3),Resolved,,Mail
T459,High,Montana,Cyber Consultation,Third Party Engagement,IT,On Prem Server,02-09-2021 13:40,02-09-2021 13:45,02-09-2021 14:05,Cinderalla,Excellent (5),Resolved,,Personal Call
T46,Medium,Illinois,Cyber Consultation,Third Party Engagement,IT,On Prem Server,31-01-2021 10:04,31-01-2021 10:04,06-07-2021 09:35,Allan,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T460,Medium,Virginia,Security Gap,Password non-expiry,Finance,On Prem Cloud,03-09-2021 02:59,03-09-2021 11:40,21-09-2021 20:09,Robbin,Excellent (5),Resolved,,Ticket Portal
T461,Medium,Pennsylvania,Security Gap,Unauthorized access,IT,On Prem Cloud,06-09-2021 13:03,06-09-2021 17:01,13-09-2021 17:26,Bob,Excellent (5),Resolved,,Ticket Portal
T462,High,California,Data Leak,Insider Threat,Manufacturing,Vendor Cloud,08-09-2021 18:35,08-09-2021 21:35,22-09-2021 12:04,Michael,Excellent (5),Advised for a risk assessment,,Ticket Portal
T463,High,California,Cyber Consultation,Secure Development,HR,On Prem Cloud,08-09-2021 22:24,08-09-2021 22:35,15-09-2021 20:31,Charlotte,Unsatisfactory (2),Resolved,Yes,Ticket Portal
T464,Low,Massachusetts,Data Privacy,Privacy Assessment,IT,On Prem Cloud,09-09-2021 14:59,10-09-2021 10:43,22-09-2021 10:25,Sylviya,Satisfactory (3),Resolved,,Ticket Portal
T465,High,Minnesota,Cyber Security Breach,Firewall,Manufacturing,Vendor Cloud,09-09-2021 21:24,09-09-2021 21:58,15-09-2021 21:31,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T466,High,Virginia,Data Privacy,GDPR,HR,On Prem Cloud,10-09-2021 02:36,10-09-2021 10:34,10-09-2021 10:34,Sylviya,Excellent (5),Resolved,,Ticket Portal
T467,Medium,Colorado,Cyber Consultation,Access Management,Marketing,On Prem Server,10-09-2021 20:58,10-09-2021 23:21,23-09-2021 18:57,Martina,Good (4),Advised for a risk assessment,,Ticket Portal
T468,Low,Arizona,Cyber Consultation,BCP/DR,IT,On Prem Cloud,14-09-2021 01:10,14-09-2021 18:10,21-09-2021 12:18,Charles,Satisfactory (3),Resolved,,Ticket Portal
T469,Low,Wisconsin,Data Leak,Phishing,HR,On Prem Server,14-09-2021 02:23,14-09-2021 20:37,20-09-2021 18:33,Martina,Excellent (5),Resolved,,Ticket Portal
T47,Low,California,Cyber Consultation,BCP/DR,Marketing,Vendor Cloud,31-01-2021 11:13,31-01-2021 11:13,31-01-2021 11:38,Allan,Satisfactory (3),Resolved,,Mail
T470,High,California,Cyber Consultation,Access Management,HR,On Prem Server,14-09-2021 12:29,14-09-2021 20:10,22-09-2021 19:21,Charles,Good (4),Advised for a risk assessment,,Ticket Portal
T471,High,Tennessee,Data Leak,Phishing,Finance,On Prem Cloud,14-09-2021 17:25,14-09-2021 18:31,07-10-2021 09:17,Cinderalla,Satisfactory (3),Recommended Threat Assessment,,Ticket Portal
T472,High,Virginia,Cyber Security Breach,Trojan Attack,Marketing,On Prem Server,15-09-2021 02:59,29-04-2021 15:28,08-02-2022 20:37,Veronica,Excellent (5),Advised for a risk assessment,,Ticket Portal
T473,High,California,Data Privacy,Privacy Assessment,Finance,On Prem Server,15-09-2021 11:16,15-09-2021 14:25,01-10-2021 10:15,Sylviya,Excellent (5),Resolved,,Ticket Portal
T474,High,California,Cyber Security Breach,Spyware,IT,On Prem Server,15-09-2021 13:21,15-09-2021 13:22,23-09-2021 10:28,Allan,Excellent (5),Resolved,,Mail
T475,High,Virginia,Data Leak,Insider Threat,Marketing,On Prem Cloud,15-09-2021 17:57,15-09-2021 18:20,29-09-2021 18:47,Martina,Excellent (5),Resolved,,Ticket Portal
